!SIL 1.0	SIL
<UNK> 1.0	SPN
istemediğine 1.0	i s t e m e d i: n e
kurtarabilirim 1.0	k u r t a r a b i l i r i m
kelepçeye 1.0	c e l e p tS e j e
yapışıp 1.0	j a p 1 S 1 p
asıldı 1.0	a s 1 5 d 1
yetiştirebiliriz 1.0	j e t i S t i r e b i l i r i z
hallet 1.0	h a 5 l e t
buluyorsunuz 1.0	b u 5 u j o r s u n u z
buluyorsunuz 1.0	b u 5 u j o s u n u z
kaldıralım 1.0	k a 5 d 1 r a 5 1 m
anlamanı 1.0	a n 5 a m a n 1
anlamanı 1.0	a n n a m a n 1
beklemiyorum 1.0	b e c l e m i j o r u m
gülüyorlar 1.0	gj y l y j o 5 a r
gülüyorlar 1.0	gj y l y j o r 5 a r
konuşuyorlardı 1.0	k o n u S u j o 5 a r d 1
konuşuyorlardı 1.0	k o n u S u j o r 5 a r d 1
akşamın 1.0	a k S a m 1 n
loşluğu 1.0	l o S 5 u:
loşluğu 1.0	l o S 5 u G u
topraktan 1.0	t o p r a k t a n
çiçeklerin 1.0	tS i tS e c l e r i n
büyüyüvermiş 1.0	b y j y j y v e r m i S
yoruldu 1.0	j o r u 5 d u
güvenin 1.0	gj y v e n i n
barıştık 1.0	b a r 1 S t 1 k
müsaadenizle 1.0	m y s a a d e n i z l e
eyvah 1.0	e j v a h
hassiktir 1.0	h a s s i k t i r
filintalarını 1.0	f i 5 i n t a 5 a r 1 n 1
doğrultarak 1.0	d o G r u 5 t a r a k
doğrultarak 1.0	d o: r u 5 t a r a k
depreşme 1.0	d e p r e S m e
bağırdılar 1.0	b a 1 r d 1 5 a r
bağırdılar 1.0	b a G 1 r d 1 5 a r
bağırdılar 1.0	b a: r d 1 5 a r
yıkılarak 1.0	j 1 k 1 5 a r a k
dolaşıyorlardı 1.0	d o 5 a S 1 j o 5 a r d 1
dolaşıyorlardı 1.0	d o 5 a S 1 j o r 5 a r d 1
düşüneyim 1.0	d y S y n e j i m
gülüşlerin 1.0	gj y l y S l e r i n
saklı 1.0	s a k 5 1
boğazı 1.0	b o: a z 1
boğazı 1.0	b o G a z 1
kırmızılaştı 1.0	k 1 r m 1 z 1 5 a S t 1
içimizden 1.0	i tS i m i z d e n
işlere 1.0	i S l e r e
karışan 1.0	k a r 1 S a n
memuruna 1.0	m e m u r u n a
yollayıp 1.0	j o 5 5 a j 1 p
bulunanlar 1.0	b u 5 u n a n 5 a r
bulunanlar 1.0	b u 5 u n a n n a r
esas 1.0	e s a s
duruş 1.0	d u r u S
kapıcıyı 1.0	k a p 1 dZ 1 j 1
selamladım 1.0	s e l a m 5 a d 1 m
olduğunuzu 1.0	o 5 d u G u n u z u
olduğunuzu 1.0	o 5 d u: n u z u
kısım 1.0	k 1 s 1 m
yaralandın 1.0	j a r a 5 a n d 1 n
gözünde 1.0	gj 2 z y n d e
maceraperest 1.0	m a dZ e r a p e r e s t
tutunabilirim 1.0	t u t u n a b i l i r i m
aldatma 1.0	a 5 d a t m a
açtın 1.0	a tS t 1 n
kullanılmaz 1.0	k u 5 5 a n 1 5 m a z
haldeydi 1.0	h a l d e j d i
direklerden 1.0	d i r e c l e r d e n
korkulurdu 1.0	k o r k u 5 u r d u
lakırdıya 1.0	5 a k 1 r d 1 j a
dalmışlardı 1.0	d a 5 m 1 S 5 a r d 1
aşağılarda 1.0	a S a 1 5 a r d a
aşağılarda 1.0	a S a: 5 a r d a
aşağılarda 1.0	a S a G 1 5 a r d a
ovadan 1.0	o v a d a n
ölemem 1.0	2 l e m e m
çıkabilirsin 1.0	tS 1 k a b i l i r s i n
palavra 1.0	p a 5 a v r a
kapıları 1.0	k a p 1 5 a r 1
kilitle 1.0	c i l i t l e
eyvallah 1.0	e j v a 5 5 a h
bitirelim 1.0	b i t i r e l i m
gidemem 1.0	gj i d e m e m
sürgü 1.0	s y r gj y
cuma 1.0	dZ u m a:
yatmış 1.0	j a t m 1 S
dikilmiş 1.0	d i c i l m i S
çehresini 1.0	tS e h r e s i n i
sorusuyla 1.0	s o r u s u j 5 a
konferansını 1.0	k o n f e r a n s 1 n 1
bağıran 1.0	b a 1 r a n
bağıran 1.0	b a G 1 r a n
bağıran 1.0	b a: r a n
titrekti 1.0	t i t r e c t i
kökeninde 1.0	c 2 c e n i n d e
söyleyeceklerini 1.0	s 2 j l e j e dZ e c l e r i n i
istemiştim 1.0	i s t e m i S t i m
bulabildik 1.0	b u 5 a b i l d i c
etmiyorsun 1.0	e t m i j o r s u n
etmiyorsun 1.0	e t m i j o s u n
curun 1.0	dZ u r u n
akmazsa 1.0	a k m a z s a
kol 1.0	k o 5
talebelerle 1.0	t a l e b e l e r l e
asistanlar 1.0	a s i s t a n 5 a r
asistanlar 1.0	a s i s t a n n a r
sırtından 1.0	s 1 r t 1 n d a n
hırkasını 1.0	h 1 r k a s 1 n 1
pazen 1.0	p a z e n
entarisini 1.0	e n t a: r i s i n i
sıyırdı 1.0	s 1 j 1 r d 1
annenizin 1.0	a n n e n i z i n
atlamayı 1.0	a t 5 a m a j 1
becerecekti 1.0	b e dZ e r e dZ e c t i
baştadır 1.0	b a S t a d 1 r
dikkatlice 1.0	d i c k a t l i dZ e
esti 1.0	e s t i
mekteplerine 1.0	m e c t e p l e r i n e
fıstık 1.0	f 1 s t 1 k
birdir 1.0	b i r d i r
duamın 1.0	d u a: m 1 n
edileceği 1.0	e d i l e dZ e G i
edileceği 1.0	e d i l e dZ e j i
edileceği 1.0	e d i l e dZ i:
dokunacağı 1.0	d o k u n a dZ a:
dokunacağı 1.0	d o k u n a dZ a 1
dokunacağı 1.0	d o k u n a dZ a G 1
gelemezdi 1.0	gj e l e m e z d i
muhatapsız 1.0	m u h a t a p s 1 z
kastettiklerine 1.0	k a s t e t t i c l e r i n e
âciz 1.0	e a dZ i z
açım 1.0	a tS 1 m
yatağını 1.0	j a t a 1 n 1
yatağını 1.0	j a t a G 1 n 1
yatağını 1.0	j a t a: n 1
güzide 1.0	gj y z i: d e
muhiti 1.0	m u h i: t i
itibarıyla 1.0	i: t i b a: r 1 j 5 a
merhamete 1.0	m e r h a m e t e
şayandı 1.0	S a j a n d 1
bulmasını 1.0	b u 5 m a s 1 n 1
yapmasını 1.0	j a p m a s 1 n 1
zanneder 1.0	z a n n e d e r
çekinmiştim 1.0	tS e c i n m i S t i m
değnekler 1.0	d e G n e c l e r
değnekler 1.0	d e: n e c l e r
dipçikler 1.0	d i p tS i c l e r
iniyordu 1.0	i n i j o d u
iniyordu 1.0	i n i j o r d u
uzaya 1.0	u z a j a
göğe 1.0	gj 2: e
göğe 1.0	gj 2 G e
ahhh 1.0	a h h h
paçavraları 1.0	p a tS a v r a 5 a r 1
teşrif 1.0	t e S r i f
yalvarıyordu 1.0	j a 5 v a r 1 j o d u
yalvarıyordu 1.0	j a 5 v a r 1 j o r d u
dökmüş 1.0	d 2 c m y S
kalem 1.0	k a l e m
unutmaz 1.0	u n u t m a z
etmeyen 1.0	e t m e j e n
anlama 1.0	a n 5 a m a
anlama 1.0	a n n a m a
yolum 1.0	j o 5 u m
darlaşıyordu 1.0	d a r 5 a S 1 j o r d u
uymazsa 1.0	u j m a z s a
uy 1.0	u j
korkuttum 1.0	k o r k u t t u m
keçilerin 1.0	c e tS i l e r i n
dolaştırdı 1.0	d o 5 a S t 1 r d 1
kalamam 1.0	k a 5 a m a m
ehemmiyetli 1.0	e h e m m i j e t l i
konuşmalarından 1.0	k o n u S m a 5 a r 1 n d a n
zekice 1.0	z e c i dZ e
yönüyle 1.0	j 2 n y j l e
tazminidir 1.0	t a z m i: n i d i r
aynadaki 1.0	a j n a d a c i
hayalime 1.0	h a j a: l i m e
hayalime 1.0	h a j a: l i: m e
tırnağını 1.0	t 1 r n a 1 n 1
tırnağını 1.0	t 1 r n a G 1 n 1
tırnağını 1.0	t 1 r n a: n 1
sallanmaya 1.0	s a 5 5 a n m a j a
neferler 1.0	n e f e r l e r
sahile 1.0	s a h i l e
kürek 1.0	c y r e c
sallana 1.0	s a 5 5 a n a
veresice 1.0	v e r e s i dZ e
tekneye 1.0	t e c n e j e
sokmuştu 1.0	s o k m u S t u
sözlerle 1.0	s 2 z l e r l e
denemelisin 1.0	d e n e m e l i s i n
darülfünunda 1.0	d a: r y l f y n u n d a
okuyan 1.0	o k u j a n
konuşurdu 1.0	k o n u S u r d u
niyetle 1.0	n i j e t l e
muvaffakiyetinin 1.0	m u v a f f a k i j e t i n i n
iltimas 1.0	i l t i m a s
arayacaksın 1.0	a r a j a dZ a k s 1 n
girmeme 1.0	gj i r m e m e
harikaydınız 1.0	h a: r i c a j d 1 n 1 z
kanun 1.0	k a: n u n
eğlencelidir 1.0	e G l e n dZ e l i d i r
eğlencelidir 1.0	e: l e n dZ e l i d i r
başlayabilir 1.0	b a S 5 a j a b i l i r
öğrenmeye 1.0	2 G r e n m e j e
öğrenmeye 1.0	2: r e n m e j e
ölmedim 1.0	2 l m e d i m
elbiseni 1.0	e l b i s e n i
alacalısından 1.0	a 5 a dZ a 5 1 s 1 n d a n
seçtin 1.0	s e tS t i n
napıyorsun 1.0	n a p 1 j o r s u n
parçala 1.0	p a r tS a 5 a
ömer 1.0	2 m e r
hiddetlenmişti 1.0	h i d d e t l e n m i S t i
vazgeç 1.0	v a z gj e tS
duble 1.0	d u b l e
hatice 1.0	h a t i dZ e
üzülmeyeyim 1.0	y z y l m e j e j i m
korkmayayım 1.0	k o r k m a j a j 1 m
vesaire 1.0	v e s a i r e
okuyamıyoruz 1.0	o k u j a m 1 j o r u z
ağlamasınlar 1.0	a: 5 a m a s 1 n 5 a r
ağlamasınlar 1.0	a: 5 a m a s 1 n n a r
ağlamasınlar 1.0	a G 5 a m a s 1 n 5 a r
ağlamasınlar 1.0	a G 5 a m a s 1 n n a r
mekteplerini 1.0	m e c t e p l e r i n i
yaptıracağım 1.0	j a p t 1 r a dZ a 1 m
yaptıracağım 1.0	j a p t 1 r a dZ a G 1 m
yaptıracağım 1.0	j a p t 1 r a dZ a: m
istemiyoruz 1.0	i s t e m i j o r u z
notumu 1.0	n o t u m u
sac 1.0	s a dZ
sobalı 1.0	s o b a 5 1
birikmiş 1.0	b i r i c m i S
hayallerden 1.0	h a j a l l e r d e n
sükûnet 1.0	s y k u: n e t
ömer’in 1.0	2 m e r  i n
vermesine 1.0	v e r m e s i n e
tamamlandı 1.0	t a m a m 5 a n d 1
sanmıştım 1.0	s a n m 1 S t 1 m
karısıyla 1.0	k a r 1 s 1 j 5 a
vedalaşmak 1.0	v e d a 5 a S m a k
homurdanmaya 1.0	h o m u r d a n m a j a
seslerini 1.0	s e s l e r i n i
yükselterek 1.0	j y c s e l t e r e c
dokundun 1.0	d o k u n d u n
katilsin 1.0	c a: t i l s i n
günahlarını 1.0	gj y n a h 5 a r 1 n 1
ikinize 1.0	i c i n i z e
macide 1.0	m a dZ i d e
unutmayın 1.0	u n u t m a j 1 n
kalemim 1.0	k a l e m i m
ödeyeceğim 1.0	2 d e j e dZ e G i m
ödeyeceğim 1.0	2 d e j e dZ e j i m
ödeyeceğim 1.0	2 d e j e dZ i: m
dakikaları 1.0	d a c i: c a 5 a r 1
çeyrekler 1.0	tS e j r e c l e r
istemiyordu 1.0	i s t e m i j o d u
istemiyordu 1.0	i s t e m i j o r d u
tahlil 1.0	t a h l i l
zıt 1.0	z 1 t
hanife 1.0	h a n i f e
tetiği 1.0	t e t i:
tetiği 1.0	t e t i G i
benziyorlar 1.0	b e n z i j o 5 a r
benziyorlar 1.0	b e n z i j o r 5 a r
yolumuz 1.0	j o 5 u m u z
konuşamam 1.0	k o n u S a m a m
sözünün 1.0	s 2 z y n y n
getiremiyordu 1.0	gj e t i r e m i j o d u
getiremiyordu 1.0	gj e t i r e m i j o r d u
anama 1.0	a n a m a
kurşunun 1.0	k u r S u n u n
bulmayacağını 1.0	b u 5 m a j a dZ a 1 n 1
bulmayacağını 1.0	b u 5 m a j a dZ a G 1 n 1
bulmayacağını 1.0	b u 5 m a j a dZ a: n 1
kendimizi 1.0	c e n d i m i z i
geceden 1.0	gj e dZ e d e n
ayırmaya 1.0	a j 1 r m a j a
muktedir 1.0	m u k t e d i r
dokunmadan 1.0	d o k u n m a d a n
küçülen 1.0	c y tS y l e n
pörsüyen 1.0	p 2 r s y j e n
memelerinin 1.0	m e m e l e r i n i n
kavuşturmuştu 1.0	k a v u S t u r m u S t u
yapamayız 1.0	j a p a m a j 1 z
çakmağın 1.0	tS a k m a 1 n
çakmağın 1.0	tS a k m a G 1 n
çakmağın 1.0	tS a k m a: n
ovuşturdu 1.0	o v u S t u r d u
numarası 1.0	n u m a r a s 1
gülümsemesiyle 1.0	gj y l y m s e m e s i j l e
dayanın 1.0	d a j a n 1 n
anam 1.0	a n a m
çocukluk 1.0	tS o dZ u k 5 u k
yapmamalısın 1.0	j a p m a m a 5 1 s 1 n
katakulli 1.0	k a t a k u 5 l i
yazmayı 1.0	j a z m a j 1
gönderdi 1.0	gj 2 n d e r d i
gelebildiğine 1.0	gj e l e b i l d i G i n e
gelebildiğine 1.0	gj e l e b i l d i: n e
macide’nin 1.0	m a dZ i d e  n i n
sarıldı 1.0	s a r 1 5 d 1
japonlar 1.0	Z a p o n 5 a r
sırrımız 1.0	s 1 r r 1 m 1 z
konuştum 1.0	k o n u S t u m
aradığını 1.0	a r a d 1 G 1 n 1
aradığını 1.0	a r a d 1: n 1
bulursun 1.0	b u 5 u r s u n
yapmıyordum 1.0	j a p m 1 j o d u m
yapmıyordum 1.0	j a p m 1 j o r d u m
tekila 1.0	t e k i 5 a
buradaydın 1.0	b u r a d a j d 1 n
ikinizin 1.0	i c i n i z i n
gerginsin 1.0	gj e r gj i n s i n
kazandın 1.0	k a z a n d 1 n
kazandın 1.0	k a z a: n d 1 n
çağırayım 1.0	tS a 1 r a j 1 m
çağırayım 1.0	tS a G 1 r a j 1 m
çağırayım 1.0	tS a: r a j 1 m
kullan 1.0	k u 5 5 a n
özre 1.0	2 z r e
kaçalım 1.0	k a tS a 5 1 m
seziş 1.0	s e z i S
duygulandım 1.0	d u j gj u 5 a n d 1 m
diğeri 1.0	d i G e r i
diğeri 1.0	d i j e r i
surette 1.0	s u r e t t e
esnedi 1.0	e s n e d i
tanık 1.0	t a n 1 k
sizindir 1.0	s i z i n d i r
bittik 1.0	b i t t i c
hayattasın 1.0	h a j a t t a s 1 n
duracak 1.0	d u r a dZ a k
seziyordu 1.0	s e z i j o d u
seziyordu 1.0	s e z i j o r d u
nereli 1.0	n e r e l i
hikâyeleridir 1.0	h i k e a j e 5 e r i d i r
çök 1.0	tS 2 c
düşünürken 1.0	d y S y n y r c e n
heyecanlanmadı 1.0	h e j e dZ a n 5 a n m a d 1
heyecanlanmadı 1.0	h e j e dZ a n n a n m a d 1
mehtap 1.0	m e h t a p
bedri 1.0	b e d r i
istanbul’a 1.0	i s t a n b u 5  a
asiye 1.0	a: s i j e
asılmıştı 1.0	a s 1 5 m 1 S t 1
fahişe 1.0	f a: h i S e
iyileşirim 1.0	i j i l e S i r i m
sevdiğimi 1.0	s e v d i G i m i
sevdiğimi 1.0	s e v d i: m i
sürünmeye 1.0	s y r y n m e j e
sarhoşum 1.0	s a r h o S u m
parasızlık 1.0	p a r a s 1 z 5 1 k
söylemeyeceğim 1.0	s 2 j l e m e j e dZ e G i m
söylemeyeceğim 1.0	s 2 j l e m e j e dZ e j i m
söylemeyeceğim 1.0	s 2 j l e m e j e dZ i: m
eğlenmiyor 1.0	e G l e n m i j o
eğlenmiyor 1.0	e G l e n m i j o r
eğlenmiyor 1.0	e: l e n m i j o
eğlenmiyor 1.0	e: l e n m i j o r
bebeklerim 1.0	b e b e c l e r i m
verebilmişlerdi 1.0	v e r e b i 5 m i S 5 e r d i
postası 1.0	p o s t a s 1
harp 1.0	h a r p
vefakâr 1.0	v e f a k e a r
bitirmedim 1.0	b i t i r m e d i m
ayırana 1.0	a j 1 r a n a
dolar 1.0	d o 5 a r
dolar 1.0	d o: 5 a r
iyileşmiyor 1.0	i j i l e S m i j o
iyileşmiyor 1.0	i j i l e S m i j o r
bitiyordu 1.0	b i t i j o d u
bitiyordu 1.0	b i t i j o r d u
dinliyordu 1.0	d i n l i j o d u
dinliyordu 1.0	d i n l i j o r d u
dinliyordu 1.0	d i n n i j o d u
dinliyordu 1.0	d i n n i j o r d u
görmüyorum 1.0	gj 2 r m y j o r u m
çıktıklarında 1.0	tS 1 k t 1 k 5 a r 1 n d a
etmeleri 1.0	e t m e l e r i
imkânsızdır 1.0	i m k e a n s 1 z d 1 r
kaçırmazdım 1.0	k a tS 1 r m a z d 1 m
itirazı 1.0	i t i r a: z 1
haksızsın 1.0	h a k s 1 z s 1 n
mahmut 1.0	m a h m u t
bayıldın 1.0	b a j 1 5 d 1 n
ağzının 1.0	a G z 1 n 1 n
ağzının 1.0	a: z 1 n 1 n
kokusundan 1.0	k o k u s u n d a n
anlaşılıyor 1.0	a n 5 a S 1 5 1 j o
anlaşılıyor 1.0	a n 5 a S 1 5 1 j o r
anlaşılıyor 1.0	a n n a S 1 5 1 j o
anlaşılıyor 1.0	a n n a S 1 5 1 j o r
sinirlisin 1.0	s i n i r l i s i n
çılgınsın 1.0	tS 1 5 gj 1 n s 1 n
duygusal 1.0	d u j gj u s a 5
sormama 1.0	s o r m a m a
amerika 1.0	a m e r i k a
dayanamıyorum 1.0	d a j a n a m 1 j o r u m
pisliksin 1.0	p i s l i c s i n
olmayabilir 1.0	o 5 m a j a b i l i r
bebeğimiz 1.0	b e b e G i m i z
bebeğimiz 1.0	b e b e j i m i z
bebeğimiz 1.0	b e b i: m i z
havamda 1.0	h a v a m d a
gireyim 1.0	gj i r e j i m
macide’ye 1.0	m a dZ i d e  j e
çekingen 1.0	tS e c i N gj e n
müşfikti 1.0	m y S f i c t i
hazin 1.0	h a z i n
öldürmekle 1.0	2 l d y r m e c l e
zararlıdır 1.0	z a r a r 5 1 d 1 r
yasa 1.0	j a s a
hafız’a 1.0	h a f 1 z  a
korktun 1.0	k o r k t u n
sihir 1.0	s i h i r
ürperir 1.0	y r p e r i r
tatlıymış 1.0	t a t 5 1 j m 1 S
meşgulüm 1.0	m e S gj u 5 y m
meşgulüm 1.0	m e S gj u l y m
çakal 1.0	tS a k a 5
hadiselerden 1.0	h a: d i: s e l e r d e n
hayatlarında 1.0	h a j a t 5 a r 1 n d a
vurulduktan 1.0	v u r u 5 d u k t a n
görmemişti 1.0	gj 2 r m e m i S t i
bitiriyorum 1.0	b i t i r i j o r u m
yoğunum 1.0	j o G u n u m
yoğunum 1.0	j o: u n u m
kancıklıkla 1.0	k a n dZ 1 k 5 1 k 5 a
diyorlarmış 1.0	d i j o 5 a r m 1 S
diyorlarmış 1.0	d i j o r 5 a r m 1 S
yakmayacağım 1.0	j a k m a j a dZ a 1 m
yakmayacağım 1.0	j a k m a j a dZ a G 1 m
yakmayacağım 1.0	j a k m a j a dZ a: m
sikimde 1.0	s i c i m d e
gitmiyoruz 1.0	gj i t m i j o r u z
bulundukları 1.0	b u 5 u n d u k 5 a r 1
edenlerin 1.0	e d e n l e r i n
edenlerin 1.0	e d e n n e r i n
masasını 1.0	m a s a s 1 n 1
almalısın 1.0	a 5 m a 5 1 s 1 n
attıkları 1.0	a t t 1 k 5 a r 1
kurşunlara 1.0	k u r S u n 5 a r a
kurşunlara 1.0	k u r S u n n a r a
efenin 1.0	e f e n i n
dikilmişti 1.0	d i c i l m i S t i
dehşetmiş 1.0	d e h S e t m i S
sıkarken 1.0	s 1 k a r c e n
durakladı 1.0	d u r a k 5 a d 1
kollarını 1.0	k o 5 5 a r 1 n 1
mükemmelsin 1.0	m y c e m m e l s i n
sormuyorum 1.0	s o r m u j o r u m
görünüyorlar 1.0	gj 2 r y n y j o 5 a r
görünüyorlar 1.0	gj 2 r y n y j o r 5 a r
aranıza 1.0	a r a n 1 z a
hiçbirini 1.0	h i tS b i r i n i
ağlıyorsun 1.0	a: 5 1 j o r s u n
ağlıyorsun 1.0	a: 5 1 j o s u n
ağlıyorsun 1.0	a G 5 1 j o r s u n
ağlıyorsun 1.0	a G 5 1 j o s u n
duyabilen 1.0	d u j a b i l e n
ümitsizliğim 1.0	y m i t s i z l i G i m
ümitsizliğim 1.0	y m i t s i z l i: m
kararını 1.0	k a r a r 1 n 1
hayalim 1.0	h a j a: l i m
hayalim 1.0	h a j a: l i: m
liraya 1.0	l i r a j a
özlemişim 1.0	2 z l e m i S i m
biliyorlar 1.0	b i l i j o 5 a r
biliyorlar 1.0	b i l i j o r 5 a r
takdirde 1.0	t a k d i r d e
duruyorsunuz 1.0	d u r u j o r s u n u z
duruyorsunuz 1.0	d u r u j o s u n u z
patlamayla 1.0	p a t 5 a m a j 5 a
beğeneceksin 1.0	b e G e n e dZ e c s i n
beğeneceksin 1.0	b e: n e dZ e c s i n
arkadaşız 1.0	a r k a d a S 1 z
hosça 1.0	h o s tS a
ürkütücü 1.0	y r c y t y dZ y
hoşlandın 1.0	h o S 5 a n d 1 n
öldürmelisin 1.0	2 l d y r m e l i s i n
sapasağlam 1.0	s a p a s a: 5 a m
sapasağlam 1.0	s a p a s a G 5 a m
olmalıyım 1.0	o 5 m a 5 1 j 1 m
görülmüyordu 1.0	gj 2 r y l m y j o d u
görülmüyordu 1.0	gj 2 r y l m y j o r d u
kızdığımı 1.0	k 1 z d 1 G 1 m 1
kızdığımı 1.0	k 1 z d 1: m 1
zedelenmeye 1.0	z e d e l e n m e j e
dokunulduğunu 1.0	d o k u n u 5 d u G u n u
dokunulduğunu 1.0	d o k u n u 5 d u: n u
kiraladı 1.0	c i r a: 5 a d 1
içkini 1.0	i tS c i n i
eğildi 1.0	e G i l d i
eğildi 1.0	e j i l d i
eğildi 1.0	i: l d i
sultanın 1.0	s u 5 t a n 1 n
yanağından 1.0	j a n a 1 n d a n
yanağından 1.0	j a n a G 1 n d a n
yanağından 1.0	j a n a: n d a n
değmiştir 1.0	d e G m i S t i r
değmiştir 1.0	d e: m i S t i r
gerekeni 1.0	gj e r e c e n i
kaçırdı 1.0	k a tS 1 r d 1
girerken 1.0	gj i r e r c e n
geçmesin 1.0	gj e tS m e s i n
sırtı 1.0	s 1 r t 1
benimlesin 1.0	b e n i m l e s i n
konuşur 1.0	k o n u S u r
beyazıt 1.0	b e j a z 1 t
kahveleri 1.0	k a h v e l e r i
sınav 1.0	s 1 n a v
yemin 1.0	j e m i n
eşyaların 1.0	e S j a: 5 a r 1 n
gebertirim 1.0	gj e b e r t i r i m
yanınızda 1.0	j a n 1 n 1 z d a
paranız 1.0	p a r a n 1 z
çığırından 1.0	tS 1 G 1 r 1 n d a n
çığırından 1.0	tS 1: r 1 n d a n
yaşıyorsunuz 1.0	j a S 1 j o r s u n u z
yaşıyorsunuz 1.0	j a S 1 j o s u n u z
değerdi 1.0	d e G e r d i
değerdi 1.0	d e: r d i
bakabilirim 1.0	b a k a b i l i r i m
efe 1.0	e f e
bağırmayı 1.0	b a 1 r m a j 1
bağırmayı 1.0	b a G 1 r m a j 1
bağırmayı 1.0	b a: r m a j 1
endişeleniyor 1.0	e n d i S e l e n i j o
endişeleniyor 1.0	e n d i S e l e n i j o r
toparlanarak 1.0	t o p a r 5 a n a r a k
hususiyeti 1.0	h u s u: s i j e t i
çenesinin 1.0	tS e n e s i n i n
meydana 1.0	m e j d a n a
irade 1.0	i r a: d e
ifadesiydi 1.0	i f a: d e s i j d i
hangileri 1.0	h a n gj i l e r i
arabalardan 1.0	a r a b a 5 a r d a n
atamaz 1.0	a t a m a z
zeybek 1.0	z e j b e c
canından 1.0	dZ a n 1 n d a n
kıymetlidir 1.0	k 1 j m e t l i d i r
kahramanım 1.0	k a h r a m a n 1 m
münasebetimizin 1.0	m y n a s e b e t i m i z i n
istikametini 1.0	i s t i c a: m e t i n i
falancanın 1.0	f a 5 a n dZ a n 1 n
enfes 1.0	e n f e s
desin 1.0	d e s i n
getiriyorum 1.0	gj e t i r i j o r u m
lütfuyla 1.0	5 y t f u j 5 a
valide 1.0	v a l i d e
hanımı 1.0	h a n 1 m 1
kilitleyin 1.0	c i l i t l e j i n
durmadım 1.0	d u r m a d 1 m
köylülere 1.0	c 2 j l y l e r e
anayasayı 1.0	a n a j a s a j 1
anlatmıştım 1.0	a n 5 a t m 1 S t 1 m
anlatmıştım 1.0	a n n a t m 1 S t 1 m
olmalısınız 1.0	o 5 m a 5 1 s 1 n 1 z
yavuz 1.0	j a v u z
koyarım 1.0	k o j a r 1 m
kontrolümü 1.0	k o n t r o l y m y
adamlarla 1.0	a d a m 5 a r 5 a
niyetindeyim 1.0	n i j e t i n d e j i m
ölülere 1.0	2 l y l e r e
ağrımaya 1.0	a G r 1 m a j a
ağrımaya 1.0	a: r 1 m a j a
sürpriz 1.0	s y r p r i z
haham 1.0	h a h a m
endişelendik 1.0	e n d i S e l e n d i c
unutuyorum 1.0	u n u t u j o r u m
sizden 1.0	s i z d e n
zayıfsın 1.0	z a j 1 f s 1 n
yapmadı 1.0	j a p m a d 1
elmanın 1.0	e l m a n 1 n
yüke 1.0	j y c e
tutarlar 1.0	t u t a r 5 a r
anlayışınız 1.0	a n 5 a j 1 S 1 n 1 z
anlayışınız 1.0	a n n a j 1 S 1 n 1 z
yapacağını 1.0	j a p a dZ a 1 n 1
yapacağını 1.0	j a p a dZ a G 1 n 1
yapacağını 1.0	j a p a dZ a: n 1
gideceğini 1.0	gj i d e dZ e G i n i
gideceğini 1.0	gj i d e dZ e j i n i
gideceğini 1.0	gj i d e dZ i: n i
adammışsın 1.0	a d a m m 1 S s 1 n
çakıcı 1.0	tS a k 1 dZ 1
atıcı 1.0	a t 1 dZ 1
öldüyse 1.0	2 l d y j s e
yetişemediysem 1.0	j e t i S e m e d i j s e m
ofiste 1.0	o f i s t e
mücadele 1.0	m y dZ a d e l e
şehirlerde 1.0	S e h i r l e r d e
tantana 1.0	t a n t a n a
debdebe 1.0	d e b d e b e
istikbal 1.0	i s t i c b a l
ediliyor 1.0	e d i l i j o
ediliyor 1.0	e d i l i j o r
sıhhiyeci 1.0	s 1 h h i j e dZ i
dönmene 1.0	d 2 n m e n e
taraf 1.0	t a r a f
harbe 1.0	h a r b e
işteyim 1.0	i S t e j i m
yazarım 1.0	j a z a r 1 m
olmuyorsun 1.0	o 5 m u j o r s u n
olmuyorsun 1.0	o 5 m u j o s u n
tanklar 1.0	t a n k 5 a r
edebiliyor 1.0	e d e b i l i j o
edebiliyor 1.0	e d e b i l i j o r
zorlamışlar 1.0	z o r 5 a m 1 S 5 a r
dövmemişler 1.0	d 2 v m e m i S 5 e r
peşini 1.0	p e S i n i
bırakmamalı 1.0	b 1 r a k m a m a 5 1
kopuk 1.0	k o p u k
çıkmadan 1.0	tS 1 k m a d a n
dağılan 1.0	d a 1 5 a n
dağılan 1.0	d a: 5 a n
dağılan 1.0	d a G 1 5 a n
kelimeler 1.0	c e l i m e l e r
buyursanıza 1.0	b u j u r s a n 1 z a
hatırlattığın 1.0	h a t 1 r 5 a t t 1 G 1 n
hatırlattığın 1.0	h a t 1 r 5 a t t 1: n
destek 1.0	d e s t e c
olmalıyız 1.0	o 5 m a 5 1 j 1 z
kalkıyor 1.0	k a 5 k 1 j o
kalkıyor 1.0	k a 5 k 1 j o r
tanımak 1.0	t a n 1 m a k
kurtarılamayan 1.0	k u r t a r 1 5 a m a j a n
şaheser 1.0	S a h e s e r
votka 1.0	v o t k a
kalsın 1.0	k a 5 s 1 n
çıkın 1.0	tS 1 k 1 n
oturuyorlardı 1.0	o t u r u j o 5 a r d 1
oturuyorlardı 1.0	o t u r u j o r 5 a r d 1
komünist 1.0	k o m y n i s t
tehlikesi 1.0	t e h l i c e s i
masalıdır 1.0	m a s a 5 1 d 1 r
